0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:39 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:55 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:59 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:01:42 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:04:55 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:04:57 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:05:00 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:40:12 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:40:12 +0900] "GET /theater/image/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:40:14 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:40:20 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:41:38 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:41:40 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:45:27 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:01 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:02 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:04 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:04 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:07 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:07 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:07 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:07 +0900] "GET /theater/image/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:08 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:11 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:12 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:12 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:46:14 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:48 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:48 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:52 +0900] "GET /theater/category/about.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:53 +0900] "GET /theater/category/production.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:55 +0900] "GET /theater/category/faq.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:55 +0900] "GET /theater/category/contact.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:56 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:58 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:58 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:21:51:59 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
